"age","year","gender","race","N"
0,1979,"Male","Non_Hispanic_White",1625237
1,1979,"Male","Non_Hispanic_White",1543718
2,1979,"Male","Non_Hispanic_White",1515104
3,1979,"Male","Non_Hispanic_White",1501902
4,1979,"Male","Non_Hispanic_White",1522954
5,1979,"Male","Non_Hispanic_White",1518509
6,1979,"Male","Non_Hispanic_White",1470958
7,1979,"Male","Non_Hispanic_White",1503604
8,1979,"Male","Non_Hispanic_White",1448529
9,1979,"Male","Non_Hispanic_White",1516098
10,1979,"Male","Non_Hispanic_White",1526225
11,1979,"Male","Non_Hispanic_White",1433556
12,1979,"Male","Non_Hispanic_White",1389108
13,1979,"Male","Non_Hispanic_White",1392021
14,1979,"Male","Non_Hispanic_White",1340821
15,1979,"Male","Non_Hispanic_White",1376151
16,1979,"Male","Non_Hispanic_White",1355241
17,1979,"Male","Non_Hispanic_White",1416989
18,1979,"Male","Non_Hispanic_White",1484016
19,1979,"Male","Non_Hispanic_White",1691913
20,1979,"Male","Non_Hispanic_White",1692230
21,1979,"Male","Non_Hispanic_White",1610602
22,1979,"Male","Non_Hispanic_White",1539203
23,1979,"Male","Non_Hispanic_White",1554125
24,1979,"Male","Non_Hispanic_White",1618168
25,1979,"Male","Non_Hispanic_White",1699669
26,1979,"Male","Non_Hispanic_White",1750826
27,1979,"Male","Non_Hispanic_White",1795467
28,1979,"Male","Non_Hispanic_White",1743243
29,1979,"Male","Non_Hispanic_White",1912779
30,1979,"Male","Non_Hispanic_White",1889692
31,1979,"Male","Non_Hispanic_White",1819734
32,1979,"Male","Non_Hispanic_White",1837715
33,1979,"Male","Non_Hispanic_White",1826621
34,1979,"Male","Non_Hispanic_White",1818403
35,1979,"Male","Non_Hispanic_White",1793388
36,1979,"Male","Non_Hispanic_White",1712670
37,1979,"Male","Non_Hispanic_White",1680936
38,1979,"Male","Non_Hispanic_White",1563569
39,1979,"Male","Non_Hispanic_White",1652103
40,1979,"Male","Non_Hispanic_White",1595340
41,1979,"Male","Non_Hispanic_White",1531897
42,1979,"Male","Non_Hispanic_White",1540868
43,1979,"Male","Non_Hispanic_White",1657562
44,1979,"Male","Non_Hispanic_White",1232786
45,1979,"Male","Non_Hispanic_White",1234186
46,1979,"Male","Non_Hispanic_White",1205901
47,1979,"Male","Non_Hispanic_White",1284948
48,1979,"Male","Non_Hispanic_White",1062265
49,1979,"Male","Non_Hispanic_White",1099093
50,1979,"Male","Non_Hispanic_White",1027094
51,1979,"Male","Non_Hispanic_White",978293
52,1979,"Male","Non_Hispanic_White",957545
53,1979,"Male","Non_Hispanic_White",915663
54,1979,"Male","Non_Hispanic_White",921483
55,1979,"Male","Non_Hispanic_White",908198
56,1979,"Male","Non_Hispanic_White",867551
57,1979,"Male","Non_Hispanic_White",872008
58,1979,"Male","Non_Hispanic_White",832775
