"Year","Age","Gender","Race","Prev_Normal","Prev_Under","Prev_Over","Prev_Obese"
1997,4,"Male","Non_Hispanic_White",0.125361894070404,0.868489275301508,0.00511086210171402,0.00103796852637431
1998,4,"Male","Non_Hispanic_White",0.131216747987967,0.862712095365016,0.00530357250494784,0.000767584142070199
1999,4,"Male","Non_Hispanic_White",0.137071601905529,0.856934915428523,0.00549628290818168,0.00049719975776609
2000,4,"Male","Non_Hispanic_White",0.142926455823092,0.851157735492031,0.00568899331141552,0.000226815373461981
2001,4,"Male","Non_Hispanic_White",0.144229077925867,0.850298730213179,0.00526805802483884,0.000204133836115783
2002,4,"Male","Non_Hispanic_White",0.145531700028641,0.849439724934326,0.00484712273826216,0.000181452298769585
2003,4,"Male","Non_Hispanic_White",0.146834322131416,0.848580719655475,0.00442618745168545,0.000158770761423387
2004,4,"Male","Non_Hispanic_White",0.148136944234191,0.847721714376622,0.00400525216510877,0.000136089224077189
2005,4,"Male","Non_Hispanic_White",0.149439566336966,0.846862709097772,0.00358431687853208,0.00011340768673099
2006,4,"Male","Non_Hispanic_White",0.150742188439741,0.846003703818919,0.0031633815919554,9.07261493847924e-05
2007,4,"Male","Non_Hispanic_White",0.152044810542516,0.845144698540066,0.00274244630537871,6.80446120385943e-05
2008,4,"Male","Non_Hispanic_White",0.15334743264529,0.844285693261215,0.00232151101880202,4.53630746923962e-05
2009,4,"Male","Non_Hispanic_White",0.154650054748066,0.843426687982364,0.00190057573222534,2.26815373461981e-05
2010,4,"Male","Non_Hispanic_White",0.15595267685084,0.84256768270351,0.00147964044564865,0
2011,4,"Male","Non_Hispanic_White",0.15597610873117,0.840859049765574,0.00277040370141594,0.000394437801840412
2012,4,"Male","Non_Hispanic_White",0.1559995406115,0.839150416827635,0.00406116695718323,0.000788875603680823
2013,4,"Male","Non_Hispanic_White",0.15602297249183,0.837441783889698,0.00535193021295051,0.00118331340552124
2014,4,"Male","Non_Hispanic_White",0.15604640437216,0.835733150951761,0.00664269346871781,0.00157775120736165
2015,4,"Male","Non_Hispanic_White",0.156069836252489,0.834024518013823,0.00793345672448509,0.00197218900920206
2016,4,"Male","Non_Hispanic_White",0.156093268132819,0.832315885075886,0.00922421998025238,0.00236662681104247
2017,4,"Male","Non_Hispanic_White",0.156116700013149,0.830607252137949,0.0105149832360197,0.00276106461288289
2018,4,"Male","Non_Hispanic_White",0.156140131893479,0.82889861920001,0.0118057464917869,0.00315550241472329
